"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0409000;"Powiat mogileński";"rynek pierwotny";"ogółem";"2020";19;"szt.";"";
0409000;"Powiat mogileński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0409000;"Powiat mogileński";"rynek wtórny";"ogółem";"2020";71;"szt.";"";
0409000;"Powiat mogileński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0410000;"Powiat nakielski";"ogółem";"ogółem";"2020";236;"szt.";"";
0410000;"Powiat nakielski";"ogółem";"ogółem";"2021";;"szt.";"n";
0410000;"Powiat nakielski";"rynek pierwotny";"ogółem";"2020";47;"szt.";"";
0410000;"Powiat nakielski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0410000;"Powiat nakielski";"rynek wtórny";"ogółem";"2020";189;"szt.";"";
0410000;"Powiat nakielski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0411000;"Powiat radziejowski";"ogółem";"ogółem";"2020";30;"szt.";"";
0411000;"Powiat radziejowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0411000;"Powiat radziejowski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0411000;"Powiat radziejowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0411000;"Powiat radziejowski";"rynek wtórny";"ogółem";"2020";29;"szt.";"";
0411000;"Powiat radziejowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0412000;"Powiat rypiński";"ogółem";"ogółem";"2020";68;"szt.";"";
0412000;"Powiat rypiński";"ogółem";"ogółem";"2021";;"szt.";"n";
0412000;"Powiat rypiński";"rynek pierwotny";"ogółem";"2020";19;"szt.";"";
0412000;"Powiat rypiński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0412000;"Powiat rypiński";"rynek wtórny";"ogółem";"2020";49;"szt.";"";
0412000;"Powiat rypiński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0413000;"Powiat sępoleński";"ogółem";"ogółem";"2020";81;"szt.";"";
0413000;"Powiat sępoleński";"ogółem";"ogółem";"2021";;"szt.";"n";
0413000;"Powiat sępoleński";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0413000;"Powiat sępoleński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0413000;"Powiat sępoleński";"rynek wtórny";"ogółem";"2020";80;"szt.";"";
0413000;"Powiat sępoleński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0414000;"Powiat świecki";"ogółem";"ogółem";"2020";257;"szt.";"";
0414000;"Powiat świecki";"ogółem";"ogółem";"2021";;"szt.";"n";
0414000;"Powiat świecki";"rynek pierwotny";"ogółem";"2020";104;"szt.";"";
0414000;"Powiat świecki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0414000;"Powiat świecki";"rynek wtórny";"ogółem";"2020";153;"szt.";"";
0414000;"Powiat świecki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0415000;"Powiat toruński";"ogółem";"ogółem";"2020";215;"szt.";"";
0415000;"Powiat toruński";"ogółem";"ogółem";"2021";;"szt.";"n";
0415000;"Powiat toruński";"rynek pierwotny";"ogółem";"2020";29;"szt.";"";
0415000;"Powiat toruński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0415000;"Powiat toruński";"rynek wtórny";"ogółem";"2020";186;"szt.";"";
0415000;"Powiat toruński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0416000;"Powiat tucholski";"ogółem";"ogółem";"2020";46;"szt.";"";
0416000;"Powiat tucholski";"ogółem";"ogółem";"2021";;"szt.";"n";
0416000;"Powiat tucholski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0416000;"Powiat tucholski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0416000;"Powiat tucholski";"rynek wtórny";"ogółem";"2020";46;"szt.";"";
0416000;"Powiat tucholski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0417000;"Powiat wąbrzeski";"ogółem";"ogółem";"2020";56;"szt.";"";
0417000;"Powiat wąbrzeski";"ogółem";"ogółem";"2021";;"szt.";"n";
0417000;"Powiat wąbrzeski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0417000;"Powiat wąbrzeski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0417000;"Powiat wąbrzeski";"rynek wtórny";"ogółem";"2020";56;"szt.";"";
0417000;"Powiat wąbrzeski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0418000;"Powiat włocławski";"ogółem";"ogółem";"2020";61;"szt.";"";
0418000;"Powiat włocławski";"ogółem";"ogółem";"2021";;"szt.";"n";
0418000;"Powiat włocławski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0418000;"Powiat włocławski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0418000;"Powiat włocławski";"rynek wtórny";"ogółem";"2020";60;"szt.";"";
0418000;"Powiat włocławski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0419000;"Powiat żniński";"ogółem";"ogółem";"2020";152;"szt.";"";
0419000;"Powiat żniński";"ogółem";"ogółem";"2021";;"szt.";"n";
0419000;"Powiat żniński";"rynek pierwotny";"ogółem";"2020";32;"szt.";"";
0419000;"Powiat żniński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0419000;"Powiat żniński";"rynek wtórny";"ogółem";"2020";120;"szt.";"";
0419000;"Powiat żniński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0461000;"Powiat m.Bydgoszcz";"ogółem";"ogółem";"2020";2845;"szt.";"";
0461000;"Powiat m.Bydgoszcz";"ogółem";"ogółem";"2021";;"szt.";"n";
0461000;"Powiat m.Bydgoszcz";"rynek pierwotny";"ogółem";"2020";927;"szt.";"";
0461000;"Powiat m.Bydgoszcz";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0461000;"Powiat m.Bydgoszcz";"rynek wtórny";"ogółem";"2020";1918;"szt.";"";
0461000;"Powiat m.Bydgoszcz";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0462000;"Powiat m.Grudziądz";"ogółem";"ogółem";"2020";652;"szt.";"";
0462000;"Powiat m.Grudziądz";"ogółem";"ogółem";"2021";;"szt.";"n";
0462000;"Powiat m.Grudziądz";"rynek pierwotny";"ogółem";"2020";185;"szt.";"";
0462000;"Powiat m.Grudziądz";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0462000;"Powiat m.Grudziądz";"rynek wtórny";"ogółem";"2020";467;"szt.";"";
0462000;"Powiat m.Grudziądz";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0463000;"Powiat m.Toruń";"ogółem";"ogółem";"2020";1418;"szt.";"";
0463000;"Powiat m.Toruń";"ogółem";"ogółem";"2021";;"szt.";"n";
0463000;"Powiat m.Toruń";"rynek pierwotny";"ogółem";"2020";290;"szt.";"";
0463000;"Powiat m.Toruń";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
